Brand,Product_Name,Price,MRP,Rating,Reviews,Category,URL
Sangria,Black Floral Printed V-Neck Thread Work Pure Cotton Straight Kurta,650.0,2099.0,4.2,2.0,Women Clothing,https://www.myntra.com/kurtas/sangria/sangria-black-floral-printed-v-neck-thread-work-pure-cotton-straight-kurta/32366596/buy
Parthvi,Floral Printed V-Neck Pure Cotton Pleated A-Line Kurta With Trousers & Dupatta,719.0,4799.0,4.1,343.0,Women Clothing,https://www.myntra.com/kurta-sets/parthvi/parthvi-floral-printed-v-neck-pure-cotton-pleated-a-line-kurta-with-trousers--dupatta/32681403/buy
Vishudh,Women Regular Kurta with Trousers & With Dupatta,1303.0,3949.0,4.3,29.0,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-women-regular-kurta-with-trousers--with-dupatta/32977405/buy
Kimayra,Floral Printed Anarkali Pure Cotton Kurta With Palazzos And Dupatta,1399.0,3599.0,4.3,2.0,Women Clothing,https://www.myntra.com/kurta-sets/kimayra/kimayra-floral-printed-anarkali-pure-cotton-kurta-with-palazzos-and-dupatta/32608414/buy
Parthvi,V-Neck Floral Printed Panelled Pure Cotton Anarkali Kurta with Trouser & Dupatta,671.0,4799.0,4.1,1.0,Women Clothing,https://www.myntra.com/kurta-sets/parthvi/parthvi-v-neck-floral-printed-panelled-pure-cotton-anarkali-kurta-with-trouser--dupatta/31889313/buy
Bkapparels,Women Floral Printed Thread Work Pure Cotton Kurta with Pyjamas,599.0,2499.0,4.4,571.0,Women Clothing,https://www.myntra.com/kurta-sets/bkapparels/bkapparels-women-floral-printed-thread-work-pure-cotton-kurta-with-pyjamas/35357063/buy
Sangria,Embroidered Boat-Neck Kurta With Trousers & Dupatta,1994.0,6649.0,4.1,7.0,Women Clothing,https://www.myntra.com/kurta-sets/sangria/sangria-embroidered-boat-neck-kurta-with-trousers--dupatta/27950524/buy
Rimeline,Floral Printed Notch-Neck Straight Kurta,639.0,1999.0,4.4,4.0,Women Clothing,https://www.myntra.com/kurtas/rimeline/rimeline-floral-printed-notch-neck-straight-kurta/32166736/buy
Divena,Women Mustard Yellow & Green Yoke Design A-Line Kurta,1231.0,2799.0,4.2,446.0,Women Clothing,https://www.myntra.com/kurtas/divena/divena-women-mustard-yellow--green-yoke-design-a-line-kurta/10560518/buy
Anouk,Women Floral Embroidered Flared Sleeves Thread Work Kurta,619.0,1999.0,4.1,380.0,Women Clothing,https://www.myntra.com/kurtas/anouk/anouk-women-floral-embroidered-flared-sleeves-thread-work-kurta/33539319/buy
Manojava,Bandhani Printed V-Neck Angrakha Pure Cotton Kurta With Palazzos And Dupatta,1333.0,2900.0,4.2,2.0,Women Clothing,https://www.myntra.com/kurta-sets/manojava/manojava-bandhani-printed-v-neck-angrakha-pure-cotton-kurta-with-palazzos-and-dupatta/32094257/buy
Janasya,Floral Embroidered Georgette Anarkali Kurta with Palazzo & Dupatta,2699.0,5398.0,3.9,227.0,Women Clothing,https://www.myntra.com/kurta-sets/janasya/janasya-floral-embroidered-georgette-anarkali-kurta-with-palazzo--dupatta/30537507/buy
Kalini,Floral Printed V Neck Anarkali Kurta With Trousers & Dupatta,1299.0,4999.0,4.3,1.0,Women Clothing,https://www.myntra.com/kurta-sets/kalini/kalini-floral-printed-v-neck-anarkali-kurta-with-trousers--dupatta/35258270/buy
Anouk,Women Printed Regular Mirror Work Pure Cotton Kurta with Palazzos & With Dupatta,1199.0,4299.0,4.0,324.0,Women Clothing,https://www.myntra.com/kurta-sets/anouk/anouk-women-printed-regular-mirror-work-pure-cotton-kurta-with-palazzos--with-dupatta/34117630/buy
Janasya,Purple Georgette Embroidered Anarkali Palazzo Set,2799.0,5398.0,4.3,123.0,Women Clothing,https://www.myntra.com/kurta-sets/janasya/janasya-purple-georgette-embroidered-anarkali-palazzo-set/30744433/buy
Bkapparels,Women Floral Printed Regular Pure Cotton Kurta with Pyjamas,599.0,2499.0,4.2,248.0,Women Clothing,https://www.myntra.com/kurta-sets/bkapparels/bkapparels-women-floral-printed-regular-pure-cotton-kurta-with-pyjamas/35357032/buy
Kalini,Ethnic Motifs Printed Thread Work Straight Kurta With Trouser & Dupatta,1379.0,5999.0,4.3,756.0,Women Clothing,https://www.myntra.com/kurta-sets/kalini/kalini-ethnic-motifs-printed-thread-work-straight-kurta-with-trouser--dupatta/27475542/buy
Janasya,Women's Green Pure Cotton Geometric A-line Kurta Set,1399.0,4249.0,4.1,166.0,Women Clothing,https://www.myntra.com/kurta-sets/janasya/janasya-womens-green-pure-cotton-geometric-a-line-kurta-set/28965354/buy
Gosriki,Women Printed Regular Kurta with Palazzos,639.0,3197.0,4.0,3.0,Women Clothing,https://www.myntra.com/kurta-sets/gosriki/gosriki-women-printed-regular-kurta-with-palazzos/31672323/buy
Chhaap,V-Neck Straight Kurta With Trousers,1690.0,4829.0,4.3,42.0,Women Clothing,https://www.myntra.com/kurta-sets/chhaap/chhaap-v-neck-straight-kurta-with-trousers/35918951/buy
Vishudh,Floral Printed Regular Kurta with Trousers & With Dupatta,811.0,2899.0,4.3,677.0,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-floral-printed-regular-kurta-with-trousers--with-dupatta/22511912/buy
Kalini,Floral Printed Anarkali Kurta With Trousers And Dupatta,949.0,4999.0,4.0,2.0,Women Clothing,https://www.myntra.com/kurta-sets/kalini/kalini-floral-printed-anarkali-kurta-with-trousers-and-dupatta/32565548/buy
Mokosh,Floral Embroidered Anarkali Kurta With Trousers & Dupatta,1461.0,4299.0,4.3,1.0,Women Clothing,https://www.myntra.com/kurta-sets/mokosh/mokosh-floral-embroidered-anarkali-kurta-with-trousers--dupatta/32145448/buy
Vishudh,Women Pink & Off-White Printed Kurta with Palazzos,849.0,2199.0,3.9,1.0,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-women-pink--off-white-printed-kurta-with-palazzos/13137942/buy
Sangria,Bandhej Printed Kaftan & Tube Top With Sharara,1567.0,4899.0,4.0,970.0,Women Clothing,https://www.myntra.com/kurta-sets/sangria/sangria-bandhej-printed-kaftan--tube-top-with-sharara/32859228/buy
Rimeline,Ethnic Motifs Printed Pure Cotton Straight Kurta,615.0,2199.0,4.2,3.0,Women Clothing,https://www.myntra.com/kurtas/rimeline/rimeline-ethnic-motifs-printed-pure-cotton-straight-kurta/31214175/buy
Vishudh,Women Straight Jacquard Kurta With Pant & Dupatta,1663.0,5199.0,3.3,6.0,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-women-straight-jacquard-kurta-with-pant--dupatta/32086511/buy
Kimayra,Women Ethnic Motifs Printed Cotton Anarkali Kurta with Trousers & Dupatta,1399.0,3599.0,4.1,777.0,Women Clothing,https://www.myntra.com/kurta-sets/kimayra/kimayra-women-ethnic-motifs-printed-cotton-anarkali-kurta-with-trousers--dupatta/33729915/buy
