Brand,Product_Name,Price,MRP,Rating,Reviews,Category,URL
Sangria,Black Floral Printed V-Neck Thread Work Pure Cotton Straight Kurta,650,2099,4.2,2,Women Clothing,https://www.myntra.com/kurtas/sangria/sangria-black-floral-printed-v-neck-thread-work-pure-cotton-straight-kurta/32366596/buy
PARTHVI,Floral Printed V-Neck Pure Cotton Pleated A-Line Kurta With Trousers & Dupatta,719,4799,4.1,343,Women Clothing,https://www.myntra.com/kurta-sets/parthvi/parthvi-floral-printed-v-neck-pure-cotton-pleated-a-line-kurta-with-trousers--dupatta/32681403/buy
Vishudh,Women Regular Kurta with Trousers & With Dupatta,1303,3949,4.3,29,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-women-regular-kurta-with-trousers--with-dupatta/32977405/buy
KIMAYRA,Floral Printed Anarkali Pure Cotton Kurta With Palazzos And Dupatta,1399,3599,4.3,2,Women Clothing,https://www.myntra.com/kurta-sets/kimayra/kimayra-floral-printed-anarkali-pure-cotton-kurta-with-palazzos-and-dupatta/32608414/buy
PARTHVI,V-Neck Floral Printed Panelled Pure Cotton Anarkali Kurta with Trouser & Dupatta,671,4799,4.1,1,Women Clothing,https://www.myntra.com/kurta-sets/parthvi/parthvi-v-neck-floral-printed-panelled-pure-cotton-anarkali-kurta-with-trouser--dupatta/31889313/buy
BKApparels,Women Floral Printed Thread Work Pure Cotton Kurta with Pyjamas,599,2499,4.4,571,Women Clothing,https://www.myntra.com/kurta-sets/bkapparels/bkapparels-women-floral-printed-thread-work-pure-cotton-kurta-with-pyjamas/35357063/buy
Sangria,Embroidered Boat-Neck Kurta With Trousers & Dupatta,1994,6649,4.1,7,Women Clothing,https://www.myntra.com/kurta-sets/sangria/sangria-embroidered-boat-neck-kurta-with-trousers--dupatta/27950524/buy
Rimeline,Floral Printed Notch-Neck Straight Kurta,639,1999,4.4,4,Women Clothing,https://www.myntra.com/kurtas/rimeline/rimeline-floral-printed-notch-neck-straight-kurta/32166736/buy
Divena,Women Mustard Yellow & Green Yoke Design A-Line Kurta,1231,2799,4.2,446,Women Clothing,https://www.myntra.com/kurtas/divena/divena-women-mustard-yellow--green-yoke-design-a-line-kurta/10560518/buy
Anouk,Women Floral Embroidered Flared Sleeves Thread Work Kurta,619,1999,4.1,380,Women Clothing,https://www.myntra.com/kurtas/anouk/anouk-women-floral-embroidered-flared-sleeves-thread-work-kurta/33539319/buy
MANOJAVA,Bandhani Printed V-Neck Angrakha Pure Cotton Kurta With Palazzos And Dupatta,1333,2900,4.2,2,Women Clothing,https://www.myntra.com/kurta-sets/manojava/manojava-bandhani-printed-v-neck-angrakha-pure-cotton-kurta-with-palazzos-and-dupatta/32094257/buy
Janasya,Floral Embroidered Georgette Anarkali Kurta with Palazzo & Dupatta,2699,5398,3.9,227,Women Clothing,https://www.myntra.com/kurta-sets/janasya/janasya-floral-embroidered-georgette-anarkali-kurta-with-palazzo--dupatta/30537507/buy
KALINI,Floral Printed V Neck Anarkali Kurta With Trousers & Dupatta,1299,4999,4.3,1,Women Clothing,https://www.myntra.com/kurta-sets/kalini/kalini-floral-printed-v-neck-anarkali-kurta-with-trousers--dupatta/35258270/buy
Anouk,Women Printed Regular Mirror Work Pure Cotton Kurta with Palazzos & With Dupatta,1199,4299,4,324,Women Clothing,https://www.myntra.com/kurta-sets/anouk/anouk-women-printed-regular-mirror-work-pure-cotton-kurta-with-palazzos--with-dupatta/34117630/buy
Janasya,Purple Georgette Embroidered Anarkali Palazzo Set,2799,5398,4.3,123,Women Clothing,https://www.myntra.com/kurta-sets/janasya/janasya-purple-georgette-embroidered-anarkali-palazzo-set/30744433/buy
BKApparels,Women Floral Printed Regular Pure Cotton Kurta with Pyjamas,599,2499,4.2,248,Women Clothing,https://www.myntra.com/kurta-sets/bkapparels/bkapparels-women-floral-printed-regular-pure-cotton-kurta-with-pyjamas/35357032/buy
KALINI,Ethnic Motifs Printed Thread Work Straight Kurta With Trouser & Dupatta,1379,5999,4.3,756,Women Clothing,https://www.myntra.com/kurta-sets/kalini/kalini-ethnic-motifs-printed-thread-work-straight-kurta-with-trouser--dupatta/27475542/buy
Janasya,Women's Green Pure Cotton Geometric A-line Kurta Set,1399,4249,4.1,166,Women Clothing,https://www.myntra.com/kurta-sets/janasya/janasya-womens-green-pure-cotton-geometric-a-line-kurta-set/28965354/buy
GoSriKi,Women Printed Regular Kurta with Palazzos,639,3197,4,3,Women Clothing,https://www.myntra.com/kurta-sets/gosriki/gosriki-women-printed-regular-kurta-with-palazzos/31672323/buy
CHHAAP,V-Neck Straight Kurta With Trousers,1690,4829,4.3,42,Women Clothing,https://www.myntra.com/kurta-sets/chhaap/chhaap-v-neck-straight-kurta-with-trousers/35918951/buy
Vishudh,Floral Printed Regular Kurta with Trousers & With Dupatta,811,2899,4.3,677,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-floral-printed-regular-kurta-with-trousers--with-dupatta/22511912/buy
KALINI,Floral Printed Anarkali Kurta With Trousers And Dupatta,949,4999,4,2,Women Clothing,https://www.myntra.com/kurta-sets/kalini/kalini-floral-printed-anarkali-kurta-with-trousers-and-dupatta/32565548/buy
MOKOSH,Floral Embroidered Anarkali Kurta With Trousers & Dupatta,1461,4299,4.3,1,Women Clothing,https://www.myntra.com/kurta-sets/mokosh/mokosh-floral-embroidered-anarkali-kurta-with-trousers--dupatta/32145448/buy
Vishudh,Women Pink & Off-White Printed Kurta with Palazzos,849,2199,3.9,1,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-women-pink--off-white-printed-kurta-with-palazzos/13137942/buy
Sangria,Bandhej Printed Kaftan & Tube Top With Sharara,1567,4899,4,970,Women Clothing,https://www.myntra.com/kurta-sets/sangria/sangria-bandhej-printed-kaftan--tube-top-with-sharara/32859228/buy
Rimeline,Ethnic Motifs Printed Pure Cotton Straight Kurta,615,2199,4.2,3,Women Clothing,https://www.myntra.com/kurtas/rimeline/rimeline-ethnic-motifs-printed-pure-cotton-straight-kurta/31214175/buy
Vishudh,Women Straight Jacquard Kurta With Pant & Dupatta,1663,5199,3.3,6,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-women-straight-jacquard-kurta-with-pant--dupatta/32086511/buy
KIMAYRA,Women Ethnic Motifs Printed Cotton Anarkali Kurta with Trousers & Dupatta,1399,3599,4.1,777,Women Clothing,https://www.myntra.com/kurta-sets/kimayra/kimayra-women-ethnic-motifs-printed-cotton-anarkali-kurta-with-trousers--dupatta/33729915/buy
Royal Export,Floral Embroidered Regular Thread Work Straight Kurta with Palazzos & Dupatta,1117,5999,4,1,Women Clothing,https://www.myntra.com/kurta-sets/royal+export/royal-export-floral-embroidered-regular-thread-work-straight-kurta-with-palazzos--dupatta/31803818/buy
